"id_municipio","municipio","tipo","id_distrito","latitud","longitud","altitud","sist_norm_int"
"220","SAN JUAN TEPEUXILA","470","3","17.72333333","-96.84055556","2130","Sistemas normativos internos"
"221","SAN JUAN TEPOSCOLULA","470","23","17.55055556","-97.425","2300","Sistemas normativos internos"
"222","SAN JUAN YAEE","INTEROCEANICO","27","17.42916667","-96.28333333","1440","Sistemas normativos internos"
"223","SAN JUAN YATZONA","E100","27","17.40222222","-96.16916667","1300","Sistemas normativos internos"
"224","SAN JUAN YUCUITA","470","15","17.51138889","-97.27027778","2090","Sistemas normativos internos"
"225","SAN LORENZO","E100","9","16.39361111","-97.87444444","240","Partidos politicos"
"226","SAN LORENZO ALBARRADAS","470","24","16.90638889","-96.25944444","1810","Sistemas normativos internos"
"227","SAN LORENZO CACAOTEPEC","470","6","17.12833333","-96.8","1600","Sistemas normativos internos"
"228","SAN LORENZO CUAUNECUILTITLA","470","22","18.20694444","-96.91138889","1960","Sistemas normativos internos"
"229","SAN LORENZO TEXMELUCAN","INTEROCEANICO","20","16.58416667","-97.19833333","1420","Sistemas normativos internos"
"230","SAN LORENZO VICTORIA","470","19","17.6675","-98.12","1180","Sistemas normativos internos"
"231","SAN LUCAS CAMOTLAN","INTEROCEANICO","14","16.945","-95.71111111","1270","Sistemas normativos internos"
"232","SAN LUCAS OJITLAN","INTEROCEANICO","26","18.05666667","-96.3975","160","Partidos politicos"
"233","SAN LUCAS QUIAVINI","INTEROCEANICO","24","16.89361111","-96.46777778","1740","Sistemas normativos internos"
"234","SAN LUCAS ZOQUIAPAM","INTEROCEANICO","22","18.13527778","-96.90583333","1760","Sistemas normativos internos"
"235","SAN LUIS AMATLAN","INTEROCEANICO","13","16.38916667","-96.49722222","1520","Sistemas normativos internos"
"236","SAN MARCIAL OZOLOTEPEC","470","13","16.08777778","-96.40472222","2340","Sistemas normativos internos"
"237","SAN MARCOS ARTEAGA","470","7","17.71944444","-97.85972222","1460","Partidos politicos"
"238","SAN MARTIN DE LOS CANSECOS","INTEROCEANICO","5","16.65638889","-96.72861111","1520","Sistemas normativos internos"
"239","SAN MARTIN HUAMELULPAM","INTEROCEANICO","25","17.39722222","-97.60138889","2230","Sistemas normativos internos"
"240","SAN MARTIN ITUNYOSO","INTEROCEANICO","25","17.22805556","-97.88083333","2610","Sistemas normativos internos"
"241","SAN MARTIN LACHILA","INTEROCEANICO","5","16.61111111","-96.84888889","1420","Sistemas normativos internos"
"242","SAN MARTIN PERAS","INTEROCEANICO","12","17.35916667","-98.23805556","2200","Sistemas normativos internos"
"243","SAN MARTIN TILCAJETE","INTEROCEANICO","16","16.85888889","-96.695","1530","Sistemas normativos internos"
"244","SAN MARTIN TOXPALAN","INTEROCEANICO","22","18.1","-97.05722222","1050","Sistemas normativos internos"
"245","SAN MARTIN ZACATEPEC","INTEROCEANICO","7","17.80694444","-98.05972222","1540","Partidos politicos"
"246","SAN MATEO CAJONOS","470","27","17.16111111","-96.2075","1350","Sistemas normativos internos"
"247","CAPULALPAM DE MENDEZ","INTEROCEANICO","8","17.30611111","-96.44611111","2060","Sistemas normativos internos"
"248","SAN MATEO DEL MAR","E100","21","16.20888889","-94.98166667","10","Sistemas normativos internos"
